Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed
1945,22-03-2020 12.00,03-22-2020 00:00,22-03-2020 2.47,Jaipur,228,ARSON,66,F,Knife,Fire Accident,16,Yes,26-04-2020 12.00
1946,23-03-2020 16.00,03-22-2020 01:00,23-03-2020 0.05,Bangalore,273,FRAUD,24,F,Blunt Object,Other Crime,19,Yes,11-04-2020 16.00
1947,22-03-2020 13.00,03-22-2020 02:00,22-03-2020 7.30,Mumbai,200,DOMESTIC VIOLENCE,30,F,Firearm,Violent Crime,13,No,
1948,23-03-2020 5.00,03-22-2020 03:00,23-03-2020 1.29,Pune,119,SEXUAL ASSAULT,28,M,Blunt Object,Violent Crime,9,Yes,25-03-2021 5.00
1949,22-03-2020 23.00,03-22-2020 04:00,22-03-2020 13.43,Chennai,530,ROBBERY,67,F,Knife,Violent Crime,9,No,
1950,22-03-2020 15.00,03-22-2020 05:00,23-03-2020 0.53,Pune,499,SHOPLIFTING,78,F,Other,Other Crime,11,No,
1951,25-03-2020 3.00,03-22-2020 06:00,22-03-2020 13.49,Delhi,368,CYBERCRIME,60,M,Poison,Other Crime,10,Yes,16-04-2020 3.00
1952,23-03-2020 2.00,03-22-2020 07:00,22-03-2020 13.41,Delhi,515,FIREARM OFFENSE,10,F,Explosives,Fire Accident,15,Yes,24-04-2020 2.00
1953,25-03-2020 0.00,03-22-2020 08:00,22-03-2020 18.04,Mumbai,166,CYBERCRIME,52,M,Blunt Object,Other Crime,7,No,
1954,25-03-2020 6.00,03-22-2020 09:00,22-03-2020 22.35,Delhi,537,KIDNAPPING,44,F,Knife,Other Crime,19,No,
1955,22-03-2020 14.00,03-22-2020 10:00,23-03-2020 9.57,Bangalore,345,COUNTERFEITING,10,F,Explosives,Other Crime,11,No,
1956,23-03-2020 10.00,03-22-2020 11:00,22-03-2020 17.34,Hyderabad,260,ASSAULT,10,F,Knife,Violent Crime,5,Yes,09-05-2020 10.00
1957,24-03-2020 3.00,03-22-2020 12:00,23-03-2020 4.31,Hyderabad,255,FIREARM OFFENSE,79,F,None,Fire Accident,11,No,
1958,24-03-2020 9.00,03-22-2020 13:00,22-03-2020 16.15,Jaipur,501,DOMESTIC VIOLENCE,22,M,Explosives,Violent Crime,13,Yes,14-05-2020 9.00
1959,23-03-2020 13.00,03-22-2020 14:00,22-03-2020 14.01,Ghaziabad,447,EXTORTION,50,F,Blunt Object,Other Crime,4,No,
1960,22-03-2020 19.00,03-22-2020 15:00,22-03-2020 18.38,Jaipur,396,TRAFFIC VIOLATION,26,F,Other,Traffic Fatality,2,Yes,11-04-2020 19.00
1961,23-03-2020 13.00,03-22-2020 16:00,23-03-2020 0.02,Delhi,549,ROBBERY,61,F,Knife,Violent Crime,1,No,
1962,25-03-2020 13.00,03-22-2020 17:00,22-03-2020 21.22,Surat,545,DRUG OFFENSE,79,M,Knife,Other Crime,8,Yes,06-04-2020 13.00
1963,23-03-2020 0.00,03-22-2020 18:00,23-03-2020 14.29,Bangalore,304,ARSON,27,F,Explosives,Fire Accident,5,Yes,06-06-2020 0.00
1964,25-03-2020 1.00,03-22-2020 19:00,22-03-2020 23.09,Pune,329,SEXUAL ASSAULT,50,F,None,Violent Crime,11,No,
1965,23-03-2020 22.00,03-22-2020 20:00,23-03-2020 19.05,Chennai,379,FRAUD,64,M,Explosives,Other Crime,14,No,
1966,23-03-2020 16.00,03-22-2020 21:00,23-03-2020 15.28,Mumbai,196,PUBLIC INTOXICATION,75,F,Knife,Other Crime,8,Yes,30-03-2020 16.00
1967,24-03-2020 14.00,03-22-2020 22:00,23-03-2020 17.03,Lucknow,218,TRAFFIC VIOLATION,55,F,Firearm,Traffic Fatality,13,Yes,15-04-2020 14.00
1968,24-03-2020 23.00,03-22-2020 23:00,23-03-2020 17.08,Kolkata,490,VANDALISM,40,M,None,Other Crime,15,Yes,02-04-2020 23.00
1969,24-03-2020 17.00,03-23-2020 00:00,23-03-2020 23.38,Chennai,401,IDENTITY THEFT,44,F,Firearm,Violent Crime,1,No,
1970,23-03-2020 6.00,03-23-2020 01:00,23-03-2020 4.12,Delhi,381,CYBERCRIME,39,F,Poison,Other Crime,2,Yes,05-06-2020 6.00
1971,23-03-2020 4.00,03-23-2020 02:00,23-03-2020 5.55,Chennai,109,FIREARM OFFENSE,22,F,Explosives,Fire Accident,1,No,
1972,23-03-2020 4.00,03-23-2020 03:00,23-03-2020 10.22,Rajkot,487,FRAUD,50,F,Explosives,Other Crime,3,Yes,03-06-2020 4.00
1973,25-03-2020 19.00,03-23-2020 04:00,23-03-2020 19.48,Hyderabad,169,EXTORTION,65,F,Explosives,Other Crime,18,No,
1974,24-03-2020 1.00,03-23-2020 05:00,23-03-2020 5.15,Mumbai,543,FRAUD,79,M,Other,Other Crime,12,No,
1975,24-03-2020 16.00,03-23-2020 06:00,23-03-2020 9.56,Mumbai,437,HOMICIDE,25,F,Explosives,Other Crime,10,No,
1976,25-03-2020 1.00,03-23-2020 07:00,23-03-2020 23.28,Bangalore,242,EXTORTION,36,F,Other,Other Crime,17,Yes,17-06-2020 1.00
1977,24-03-2020 12.00,03-23-2020 08:00,23-03-2020 13.46,Mumbai,587,PUBLIC INTOXICATION,40,M,Poison,Other Crime,10,Yes,08-04-2020 12.00
1978,25-03-2020 21.00,03-23-2020 09:00,23-03-2020 17.29,Chennai,192,ROBBERY,63,F,Other,Violent Crime,5,Yes,05-09-2020 21.00
1979,25-03-2020 20.00,03-23-2020 10:00,24-03-2020 2.45,Varanasi,254,SHOPLIFTING,47,F,Blunt Object,Other Crime,16,No,
1980,24-03-2020 12.00,03-23-2020 11:00,23-03-2020 12.57,Mumbai,547,DRUG OFFENSE,44,F,Blunt Object,Other Crime,16,Yes,24-04-2020 12.00
1981,25-03-2020 4.00,03-23-2020 12:00,24-03-2020 7.44,Delhi,294,SEXUAL ASSAULT,68,M,Knife,Violent Crime,6,Yes,30-10-2020 4.00
1982,23-03-2020 23.00,03-23-2020 13:00,23-03-2020 22.41,Ahmedabad,106,KIDNAPPING,56,M,Poison,Other Crime,8,Yes,23-04-2020 23.00
1983,24-03-2020 23.00,03-23-2020 14:00,23-03-2020 16.58,Nagpur,179,SHOPLIFTING,37,M,Firearm,Other Crime,9,Yes,08-06-2020 23.00
1984,25-03-2020 2.00,03-23-2020 15:00,24-03-2020 4.42,Kanpur,237,FRAUD,18,F,Knife,Other Crime,19,No,
1985,25-03-2020 19.00,03-23-2020 16:00,24-03-2020 12.29,Kolkata,527,ROBBERY,38,F,Blunt Object,Violent Crime,14,Yes,23-05-2020 19.00
1986,24-03-2020 10.00,03-23-2020 17:00,24-03-2020 1.09,Delhi,432,DOMESTIC VIOLENCE,53,F,Firearm,Violent Crime,7,No,
1987,26-03-2020 6.00,03-23-2020 18:00,23-03-2020 18.46,Hyderabad,400,VANDALISM,75,F,Firearm,Other Crime,5,No,
1988,26-03-2020 2.00,03-23-2020 19:00,23-03-2020 23.18,Thane,545,SHOPLIFTING,61,F,Explosives,Other Crime,19,No,
1989,25-03-2020 6.00,03-23-2020 20:00,24-03-2020 13.28,Delhi,475,PUBLIC INTOXICATION,54,M,Poison,Other Crime,1,Yes,13-04-2020 6.00
1990,26-03-2020 19.00,03-23-2020 21:00,24-03-2020 3.41,Bangalore,301,VEHICLE - STOLEN,71,F,Explosives,Violent Crime,17,Yes,15-05-2020 19.00
1991,24-03-2020 13.00,03-23-2020 22:00,24-03-2020 14.04,Jaipur,162,ASSAULT,27,F,None,Violent Crime,6,Yes,09-06-2020 13.00
1992,25-03-2020 17.00,03-23-2020 23:00,24-03-2020 17.15,Pune,321,PUBLIC INTOXICATION,33,F,Other,Other Crime,6,Yes,28-03-2020 17.00
1993,24-03-2020 18.00,03-24-2020 00:00,24-03-2020 14.39,Kolkata,573,ASSAULT,50,F,None,Violent Crime,7,No,
1994,25-03-2020 13.00,03-24-2020 01:00,24-03-2020 15.53,Jaipur,280,IDENTITY THEFT,20,M,Other,Violent Crime,7,No,
1995,25-03-2020 23.00,03-24-2020 02:00,24-03-2020 16.48,Jaipur,587,CYBERCRIME,30,F,Explosives,Other Crime,9,No,
1996,26-03-2020 19.00,03-24-2020 03:00,24-03-2020 6.01,Mumbai,346,ILLEGAL POSSESSION,56,F,Explosives,Other Crime,5,Yes,21-05-2020 19.00
1997,25-03-2020 8.00,03-24-2020 04:00,25-03-2020 2.42,Jaipur,246,COUNTERFEITING,74,F,Firearm,Other Crime,9,No,
1998,26-03-2020 5.00,03-24-2020 05:00,24-03-2020 10.51,Kolkata,419,KIDNAPPING,45,M,Firearm,Other Crime,11,No,
1999,24-03-2020 18.00,03-24-2020 06:00,24-03-2020 13.25,Thane,538,ROBBERY,49,F,Blunt Object,Violent Crime,5,No,
2000,25-03-2020 15.00,03-24-2020 07:00,25-03-2020 6.29,Bangalore,416,VANDALISM,22,F,Poison,Other Crime,13,No,
2001,26-03-2020 2.00,03-24-2020 08:00,24-03-2020 14.37,Mumbai,427,CYBERCRIME,10,M,Poison,Other Crime,7,Yes,13-06-2020 2.00
2002,24-03-2020 15.00,03-24-2020 09:00,24-03-2020 10.17,Chennai,535,FIREARM OFFENSE,53,F,Blunt Object,Fire Accident,16,Yes,11-05-2020 15.00
2003,27-03-2020 8.00,03-24-2020 10:00,25-03-2020 5.40,Ahmedabad,538,HOMICIDE,77,F,Other,Other Crime,1,No,
2004,25-03-2020 19.00,03-24-2020 11:00,25-03-2020 4.56,Ahmedabad,363,DOMESTIC VIOLENCE,26,F,Firearm,Violent Crime,2,Yes,04-05-2020 19.00
2005,25-03-2020 21.00,03-24-2020 12:00,24-03-2020 23.07,Ahmedabad,311,VEHICLE - STOLEN,14,M,Other,Violent Crime,11,No,
2006,24-03-2020 23.00,03-24-2020 13:00,24-03-2020 13.24,Kolkata,447,ROBBERY,20,F,Blunt Object,Violent Crime,10,No,
2007,26-03-2020 1.00,03-24-2020 14:00,25-03-2020 13.31,Mumbai,356,VANDALISM,64,F,Firearm,Other Crime,18,Yes,08-05-2020 1.00
2008,26-03-2020 5.00,03-24-2020 15:00,24-03-2020 19.52,Meerut,177,ARSON,19,M,Knife,Fire Accident,3,No,
2009,24-03-2020 19.00,03-24-2020 16:00,25-03-2020 0.14,Mumbai,167,ASSAULT,64,F,Poison,Violent Crime,16,No,
2010,26-03-2020 18.00,03-24-2020 17:00,24-03-2020 17.45,Delhi,102,FRAUD,32,F,Explosives,Other Crime,4,Yes,22-06-2020 18.00
2011,25-03-2020 12.00,03-24-2020 18:00,25-03-2020 16.48,Pune,403,PUBLIC INTOXICATION,50,M,Firearm,Other Crime,7,No,
2012,25-03-2020 9.00,03-24-2020 19:00,25-03-2020 12.26,Srinagar,109,CYBERCRIME,11,M,None,Other Crime,11,No,
2013,27-03-2020 1.00,03-24-2020 20:00,25-03-2020 10.38,Chennai,375,SHOPLIFTING,44,F,Explosives,Other Crime,6,No,
2014,24-03-2020 23.00,03-24-2020 21:00,25-03-2020 11.36,Mumbai,175,HOMICIDE,43,F,Blunt Object,Other Crime,18,Yes,16-11-2021 23.00
2015,26-03-2020 6.00,03-24-2020 22:00,25-03-2020 17.04,Pune,152,SHOPLIFTING,52,F,Firearm,Other Crime,5,Yes,30-04-2020 6.00
2016,26-03-2020 21.00,03-24-2020 23:00,25-03-2020 14.43,Hyderabad,306,BURGLARY,19,F,Other,Other Crime,17,Yes,03-06-2020 21.00
2017,26-03-2020 20.00,03-25-2020 00:00,25-03-2020 4.22,Jaipur,421,EXTORTION,63,M,Knife,Other Crime,13,No,
2018,26-03-2020 4.00,03-25-2020 01:00,25-03-2020 21.58,Mumbai,387,FRAUD,11,F,None,Other Crime,9,No,
2019,27-03-2020 14.00,03-25-2020 02:00,25-03-2020 11.36,Thane,197,ASSAULT,40,M,Firearm,Violent Crime,4,Yes,01-05-2020 14.00
2020,26-03-2020 12.00,03-25-2020 03:00,25-03-2020 12.06,Bangalore,416,ASSAULT,40,F,None,Violent Crime,1,Yes,30-05-2020 12.00
2021,26-03-2020 20.00,03-25-2020 04:00,25-03-2020 12.49,Hyderabad,358,CYBERCRIME,62,M,None,Other Crime,11,No,
2022,26-03-2020 15.00,03-25-2020 05:00,26-03-2020 1.55,Delhi,315,SHOPLIFTING,78,M,Poison,Other Crime,3,Yes,05-06-2020 15.00
2023,28-03-2020 2.00,03-25-2020 06:00,25-03-2020 13.20,Kanpur,331,KIDNAPPING,17,M,Explosives,Other Crime,9,Yes,14-05-2020 2.00
2024,27-03-2020 6.00,03-25-2020 07:00,26-03-2020 5.06,Visakhapatnam,213,SHOPLIFTING,26,F,None,Other Crime,12,Yes,29-05-2020 6.00
2025,28-03-2020 2.00,03-25-2020 08:00,25-03-2020 23.04,Delhi,176,SHOPLIFTING,19,F,Knife,Other Crime,11,Yes,16-05-2020 2.00
2026,27-03-2020 13.00,03-25-2020 09:00,25-03-2020 19.31,Bhopal,396,ASSAULT,53,F,None,Violent Crime,19,Yes,25-04-2020 13.00
2027,25-03-2020 16.00,03-25-2020 10:00,26-03-2020 6.14,Kanpur,425,ASSAULT,70,F,Explosives,Violent Crime,11,Yes,07-04-2020 16.00
2028,25-03-2020 22.00,03-25-2020 11:00,25-03-2020 20.09,Bangalore,289,EXTORTION,50,M,Firearm,Other Crime,2,No,
2029,27-03-2020 23.00,03-25-2020 12:00,26-03-2020 3.29,Bangalore,587,DRUG OFFENSE,77,F,Knife,Other Crime,14,Yes,15-04-2020 23.00
2030,27-03-2020 16.00,03-25-2020 13:00,25-03-2020 16.23,Delhi,331,ILLEGAL POSSESSION,35,M,Firearm,Other Crime,15,Yes,25-04-2020 16.00
2031,28-03-2020 12.00,03-25-2020 14:00,25-03-2020 17.49,Delhi,423,DRUG OFFENSE,39,F,Blunt Object,Other Crime,8,No,
2032,27-03-2020 17.00,03-25-2020 15:00,26-03-2020 3.10,Ludhiana,172,HOMICIDE,40,M,Poison,Other Crime,2,No,
2033,27-03-2020 16.00,03-25-2020 16:00,25-03-2020 23.47,Delhi,391,DRUG OFFENSE,65,F,Explosives,Other Crime,5,No,
2034,26-03-2020 22.00,03-25-2020 17:00,26-03-2020 16.09,Kolkata,194,SEXUAL ASSAULT,26,F,Other,Violent Crime,8,Yes,20-10-2021 22.00
2035,27-03-2020 13.00,03-25-2020 18:00,25-03-2020 18.29,Thane,447,KIDNAPPING,14,F,Other,Other Crime,1,Yes,20-05-2020 13.00
2036,26-03-2020 22.00,03-25-2020 19:00,26-03-2020 17.25,Ghaziabad,330,PUBLIC INTOXICATION,78,F,Blunt Object,Other Crime,8,No,
2037,26-03-2020 16.00,03-25-2020 20:00,26-03-2020 7.43,Jaipur,224,IDENTITY THEFT,43,M,Other,Violent Crime,1,Yes,09-06-2020 16.00
2038,28-03-2020 0.00,03-25-2020 21:00,25-03-2020 23.39,Pune,184,BURGLARY,76,M,Firearm,Other Crime,4,Yes,19-06-2020 0.00
2039,26-03-2020 11.00,03-25-2020 22:00,26-03-2020 4.56,Kolkata,134,IDENTITY THEFT,59,F,Poison,Violent Crime,2,Yes,27-05-2020 11.00
2040,26-03-2020 15.00,03-25-2020 23:00,26-03-2020 14.03,Pune,576,COUNTERFEITING,36,F,Poison,Other Crime,7,No,
2041,27-03-2020 5.00,03-26-2020 00:00,26-03-2020 21.52,Vasai,274,KIDNAPPING,33,F,Knife,Other Crime,3,Yes,17-05-2020 5.00
2042,27-03-2020 16.00,03-26-2020 01:00,26-03-2020 18.47,Bhopal,597,TRAFFIC VIOLATION,42,M,None,Traffic Fatality,13,No,
2043,26-03-2020 5.00,03-26-2020 02:00,27-03-2020 1.10,Kolkata,151,FIREARM OFFENSE,49,F,Firearm,Fire Accident,14,No,
2044,28-03-2020 19.00,03-26-2020 03:00,27-03-2020 1.08,Chennai,552,ROBBERY,75,F,Blunt Object,Violent Crime,11,No,
2045,27-03-2020 20.00,03-26-2020 04:00,26-03-2020 16.24,Kanpur,151,ARSON,32,F,Other,Fire Accident,12,Yes,28-04-2020 20.00
2046,26-03-2020 6.00,03-26-2020 05:00,26-03-2020 7.47,Ahmedabad,233,FIREARM OFFENSE,74,M,Explosives,Fire Accident,11,Yes,01-06-2020 6.00
2047,26-03-2020 17.00,03-26-2020 06:00,26-03-2020 19.47,Bangalore,491,DRUG OFFENSE,24,F,Blunt Object,Other Crime,15,No,
2048,27-03-2020 13.00,03-26-2020 07:00,26-03-2020 21.16,Jaipur,505,ILLEGAL POSSESSION,62,M,None,Other Crime,18,No,
2049,28-03-2020 16.00,03-26-2020 08:00,26-03-2020 21.03,Kolkata,390,FRAUD,60,F,Blunt Object,Other Crime,8,Yes,12-04-2020 16.00
2050,28-03-2020 7.00,03-26-2020 09:00,26-03-2020 14.44,Chennai,522,PUBLIC INTOXICATION,35,F,Knife,Other Crime,16,Yes,18-04-2020 7.00
2051,28-03-2020 6.00,03-26-2020 10:00,26-03-2020 21.26,Pune,182,PUBLIC INTOXICATION,46,F,Explosives,Other Crime,7,No,
2052,29-03-2020 3.00,03-26-2020 11:00,26-03-2020 14.38,Lucknow,118,EXTORTION,45,F,Poison,Other Crime,11,Yes,18-04-2020 3.00
2053,26-03-2020 19.00,03-26-2020 12:00,26-03-2020 22.28,Hyderabad,107,FIREARM OFFENSE,65,F,Knife,Fire Accident,17,Yes,10-06-2020 19.00
2054,28-03-2020 22.00,03-26-2020 13:00,26-03-2020 18.01,Bangalore,478,DRUG OFFENSE,26,F,Blunt Object,Other Crime,11,No,
2055,29-03-2020 6.00,03-26-2020 14:00,27-03-2020 1.52,Agra,274,COUNTERFEITING,20,F,Blunt Object,Other Crime,6,No,
2056,28-03-2020 3.00,03-26-2020 15:00,26-03-2020 15.38,Ahmedabad,131,TRAFFIC VIOLATION,68,F,Knife,Traffic Fatality,8,Yes,06-04-2020 3.00
2057,27-03-2020 23.00,03-26-2020 16:00,27-03-2020 7.56,Delhi,279,ARSON,32,F,Poison,Fire Accident,2,No,
2058,29-03-2020 1.00,03-26-2020 17:00,27-03-2020 9.40,Pune,544,SEXUAL ASSAULT,53,F,Other,Violent Crime,10,No,
2059,27-03-2020 7.00,03-26-2020 18:00,27-03-2020 10.02,Mumbai,352,VANDALISM,14,M,Poison,Other Crime,6,Yes,18-04-2020 7.00
2060,26-03-2020 20.00,03-26-2020 19:00,27-03-2020 4.22,Lucknow,203,BURGLARY,24,M,Other,Other Crime,2,Yes,13-09-2020 20.00
2061,29-03-2020 10.00,03-26-2020 20:00,27-03-2020 8.30,Ludhiana,545,ILLEGAL POSSESSION,38,F,Explosives,Other Crime,17,Yes,16-04-2020 10.00
2062,27-03-2020 0.00,03-26-2020 21:00,27-03-2020 20.15,Delhi,457,VANDALISM,49,F,Blunt Object,Other Crime,14,Yes,06-06-2020 0.00
2063,27-03-2020 17.00,03-26-2020 22:00,27-03-2020 7.02,Delhi,326,PUBLIC INTOXICATION,19,M,Blunt Object,Other Crime,16,No,
2064,27-03-2020 2.00,03-26-2020 23:00,27-03-2020 5.35,Srinagar,340,ARSON,35,F,Explosives,Fire Accident,12,Yes,20-05-2020 2.00
2065,29-03-2020 0.00,03-27-2020 00:00,27-03-2020 1.18,Mumbai,505,BURGLARY,22,F,None,Other Crime,17,Yes,24-08-2020 0.00
2066,28-03-2020 10.00,03-27-2020 01:00,27-03-2020 12.54,Mumbai,498,SHOPLIFTING,42,F,None,Other Crime,13,No,
2067,28-03-2020 0.00,03-27-2020 02:00,27-03-2020 15.31,Jaipur,297,DRUG OFFENSE,76,F,Other,Other Crime,19,No,
2068,29-03-2020 20.00,03-27-2020 03:00,27-03-2020 18.00,Mumbai,466,VEHICLE - STOLEN,72,F,Firearm,Violent Crime,10,Yes,28-04-2020 20.00
2069,28-03-2020 11.00,03-27-2020 04:00,27-03-2020 11.45,Mumbai,159,DRUG OFFENSE,25,F,Explosives,Other Crime,5,No,
2070,28-03-2020 14.00,03-27-2020 05:00,27-03-2020 12.49,Pune,398,PUBLIC INTOXICATION,54,F,Blunt Object,Other Crime,2,No,
2071,29-03-2020 14.00,03-27-2020 06:00,27-03-2020 15.30,Delhi,100,HOMICIDE,20,F,None,Other Crime,6,No,
2072,27-03-2020 15.00,03-27-2020 07:00,27-03-2020 11.22,Surat,113,VANDALISM,12,M,Knife,Other Crime,11,Yes,04-04-2020 15.00
2073,27-03-2020 15.00,03-27-2020 08:00,27-03-2020 11.42,Bangalore,469,CYBERCRIME,40,F,Blunt Object,Other Crime,1,No,
2074,29-03-2020 8.00,03-27-2020 09:00,27-03-2020 10.13,Chennai,562,VEHICLE - STOLEN,60,F,None,Violent Crime,19,No,
2075,27-03-2020 19.00,03-27-2020 10:00,27-03-2020 12.12,Delhi,299,SHOPLIFTING,38,F,None,Other Crime,3,No,
2076,28-03-2020 6.00,03-27-2020 11:00,27-03-2020 21.03,Surat,239,BURGLARY,28,M,Poison,Other Crime,8,Yes,30-04-2020 6.00
2077,29-03-2020 18.00,03-27-2020 12:00,28-03-2020 10.41,Mumbai,149,FIREARM OFFENSE,50,F,Explosives,Fire Accident,6,Yes,06-04-2020 18.00
2078,28-03-2020 3.00,03-27-2020 13:00,27-03-2020 19.15,Kalyan,210,FRAUD,39,M,Poison,Other Crime,8,No,
2079,28-03-2020 10.00,03-27-2020 14:00,28-03-2020 5.02,Ahmedabad,360,VEHICLE - STOLEN,38,F,Knife,Violent Crime,4,No,
2080,28-03-2020 0.00,03-27-2020 15:00,27-03-2020 22.42,Nashik,212,SEXUAL ASSAULT,68,F,Firearm,Violent Crime,13,Yes,21-10-2021 0.00
2081,28-03-2020 20.00,03-27-2020 16:00,28-03-2020 15.21,Nashik,323,DRUG OFFENSE,17,F,Explosives,Other Crime,3,No,
2082,29-03-2020 1.00,03-27-2020 17:00,27-03-2020 19.21,Chennai,139,ROBBERY,11,M,Other,Violent Crime,9,No,
2083,29-03-2020 7.00,03-27-2020 18:00,28-03-2020 14.07,Pune,382,FIREARM OFFENSE,40,F,Knife,Fire Accident,6,No,
2084,28-03-2020 22.00,03-27-2020 19:00,28-03-2020 15.36,Bangalore,160,FRAUD,46,F,Firearm,Other Crime,7,No,
2085,29-03-2020 21.00,03-27-2020 20:00,28-03-2020 4.38,Bhopal,449,VEHICLE - STOLEN,62,M,Poison,Violent Crime,11,No,
2086,30-03-2020 10.00,03-27-2020 21:00,28-03-2020 10.57,Kolkata,220,DOMESTIC VIOLENCE,47,F,Blunt Object,Violent Crime,13,No,
2087,30-03-2020 14.00,03-27-2020 22:00,28-03-2020 6.45,Bangalore,314,EXTORTION,14,F,Firearm,Other Crime,16,Yes,11-05-2020 14.00
2088,29-03-2020 6.00,03-27-2020 23:00,28-03-2020 6.23,Delhi,472,BURGLARY,25,F,None,Other Crime,12,No,
2089,29-03-2020 0.00,03-28-2020 00:00,28-03-2020 7.49,Ahmedabad,454,FIREARM OFFENSE,46,M,Explosives,Fire Accident,19,No,
2090,30-03-2020 19.00,03-28-2020 01:00,28-03-2020 20.38,Kolkata,142,FIREARM OFFENSE,57,M,Knife,Fire Accident,3,No,
2091,29-03-2020 8.00,03-28-2020 02:00,28-03-2020 10.07,Hyderabad,281,VANDALISM,32,F,Poison,Other Crime,1,No,
2092,29-03-2020 0.00,03-28-2020 03:00,28-03-2020 20.26,Patna,504,COUNTERFEITING,75,M,Poison,Other Crime,4,Yes,21-06-2020 0.00
2093,29-03-2020 13.00,03-28-2020 04:00,28-03-2020 21.58,Delhi,475,VEHICLE - STOLEN,26,F,Poison,Violent Crime,13,No,
2094,28-03-2020 8.00,03-28-2020 05:00,28-03-2020 15.12,Kolkata,133,HOMICIDE,62,F,Firearm,Other Crime,17,Yes,13-12-2020 8.00
2095,30-03-2020 17.00,03-28-2020 06:00,28-03-2020 20.51,Delhi,294,ILLEGAL POSSESSION,52,F,Blunt Object,Other Crime,4,No,
2096,30-03-2020 5.00,03-28-2020 07:00,29-03-2020 4.09,Patna,336,ILLEGAL POSSESSION,39,F,Knife,Other Crime,19,Yes,04-05-2020 5.00
2097,28-03-2020 20.00,03-28-2020 08:00,28-03-2020 12.54,Delhi,224,HOMICIDE,66,F,Other,Other Crime,15,Yes,29-09-2021 20.00
2098,29-03-2020 21.00,03-28-2020 09:00,28-03-2020 12.48,Jaipur,585,CYBERCRIME,25,F,Poison,Other Crime,3,No,
2099,28-03-2020 23.00,03-28-2020 10:00,28-03-2020 13.57,Pune,106,ILLEGAL POSSESSION,65,F,Poison,Other Crime,9,No,
2100,29-03-2020 4.00,03-28-2020 11:00,29-03-2020 8.26,Surat,496,ASSAULT,45,F,None,Violent Crime,1,Yes,17-05-2020 4.00
2101,29-03-2020 12.00,03-28-2020 12:00,28-03-2020 20.55,Bangalore,212,PUBLIC INTOXICATION,72,F,Knife,Other Crime,18,No,
2102,29-03-2020 11.00,03-28-2020 13:00,29-03-2020 5.13,Hyderabad,422,DOMESTIC VIOLENCE,38,F,Poison,Violent Crime,18,Yes,23-06-2020 11.00
2103,30-03-2020 5.00,03-28-2020 14:00,28-03-2020 15.44,Bangalore,190,DOMESTIC VIOLENCE,47,M,Firearm,Violent Crime,5,Yes,12-04-2020 5.00
2104,29-03-2020 23.00,03-28-2020 15:00,29-03-2020 1.39,Jaipur,310,VANDALISM,35,M,Other,Other Crime,15,No,
2105,29-03-2020 5.00,03-28-2020 16:00,29-03-2020 1.06,Bhopal,174,ARSON,35,F,Knife,Fire Accident,3,Yes,28-04-2020 5.00
2106,31-03-2020 7.00,03-28-2020 17:00,29-03-2020 15.59,Mumbai,598,IDENTITY THEFT,28,F,Poison,Violent Crime,15,Yes,18-06-2020 7.00
2107,31-03-2020 15.00,03-28-2020 18:00,29-03-2020 7.08,Ahmedabad,171,VANDALISM,75,F,Blunt Object,Other Crime,16,No,
2108,29-03-2020 18.00,03-28-2020 19:00,28-03-2020 23.02,Bangalore,222,SHOPLIFTING,63,F,Poison,Other Crime,19,No,
2109,31-03-2020 4.00,03-28-2020 20:00,29-03-2020 10.00,Jaipur,337,FIREARM OFFENSE,30,F,Blunt Object,Fire Accident,6,No,
2110,29-03-2020 4.00,03-28-2020 21:00,28-03-2020 23.34,Faridabad,133,IDENTITY THEFT,37,F,Firearm,Violent Crime,4,No,
2111,31-03-2020 1.00,03-28-2020 22:00,28-03-2020 23.15,Delhi,114,ILLEGAL POSSESSION,53,M,Knife,Other Crime,16,Yes,27-06-2020 1.00
2112,29-03-2020 17.00,03-28-2020 23:00,29-03-2020 5.59,Mumbai,306,DOMESTIC VIOLENCE,32,F,Other,Violent Crime,7,Yes,05-04-2020 17.00
2113,31-03-2020 1.00,03-29-2020 00:00,29-03-2020 4.34,Ahmedabad,401,SEXUAL ASSAULT,28,F,Firearm,Violent Crime,15,Yes,09-10-2021 1.00
2114,30-03-2020 22.00,03-29-2020 01:00,29-03-2020 4.13,Mumbai,591,EXTORTION,75,F,Firearm,Other Crime,17,No,
2115,30-03-2020 11.00,03-29-2020 02:00,29-03-2020 15.22,Delhi,157,ASSAULT,46,M,Blunt Object,Violent Crime,10,No,
2116,31-03-2020 4.00,03-29-2020 03:00,29-03-2020 17.41,Bangalore,101,DOMESTIC VIOLENCE,18,F,None,Violent Crime,11,No,
2117,30-03-2020 12.00,03-29-2020 04:00,29-03-2020 13.50,Bhopal,576,PUBLIC INTOXICATION,35,M,Explosives,Other Crime,12,No,
2118,30-03-2020 2.00,03-29-2020 05:00,29-03-2020 7.55,Chennai,482,ARSON,50,F,Blunt Object,Fire Accident,3,Yes,22-05-2020 2.00
2119,29-03-2020 18.00,03-29-2020 06:00,29-03-2020 11.37,Delhi,146,FIREARM OFFENSE,10,F,Poison,Fire Accident,5,Yes,17-04-2020 18.00
